time,precip_mm
2000-01-01,26.697906
2000-02-01,31.393753
2000-03-01,31.918951
2000-04-01,112.67869
2000-05-01,119.733864
2000-06-01,157.12044
2000-07-01,95.641884
2000-08-01,83.09206
2000-09-01,111.323425
2000-10-01,57.403492
2000-11-01,93.07656
2000-12-01,62.289284
2001-01-01,28.665352
2001-02-01,78.77024
2001-03-01,30.573523
2001-04-01,72.965416
2001-05-01,91.806366
2001-06-01,77.350426
2001-07-01,97.50681
2001-08-01,177.7498
2001-09-01,94.90191
2001-10-01,193.42882
2001-11-01,48.14953
2001-12-01,33.015594
2002-01-01,46.120094
2002-02-01,31.776209
2002-03-01,80.11059
2002-04-01,121.45631
2002-05-01,143.06871
2002-06-01,78.943405
2002-07-01,49.594513
2002-08-01,103.94612
2002-09-01,55.970276
2002-10-01,50.845818
2002-11-01,38.867977
2002-12-01,38.920082
2003-01-01,8.868188
2003-02-01,8.227781
2003-03-01,42.110413
2003-04-01,70.36049
2003-05-01,153.80995
2003-06-01,43.031635
2003-07-01,197.39285
2003-08-01,74.26378
2003-09-01,68.65484
2003-10-01,51.85231
2003-11-01,138.4697
2003-12-01,43.922413
2004-01-01,19.208565
2004-02-01,13.297323
2004-03-01,85.666695
2004-04-01,32.41091
2004-05-01,152.1529
2004-06-01,92.68723
2004-07-01,82.35884
2004-08-01,134.55434
2004-09-01,17.934202
2004-10-01,58.592037
2004-11-01,89.005035
2004-12-01,45.344513
2005-01-01,109.29892
2005-02-01,47.096912
2005-03-01,35.087524
2005-04-01,41.751125
2005-05-01,48.18561
2005-06-01,42.192436
2005-07-01,65.666275
2005-08-01,52.36958
2005-09-01,56.778175
2005-10-01,28.747065
2005-11-01,52.694675
2005-12-01,31.744038
2006-01-01,63.65511
2006-02-01,29.860935
2006-03-01,68.962296
2006-04-01,89.28582
2006-05-01,94.48852
2006-06-01,79.11297
2006-07-01,94.095665
2006-08-01,133.41957
2006-09-01,113.73871
2006-10-01,131.53561
2006-11-01,74.13821
2006-12-01,85.15606
2007-01-01,56.673218
2007-02-01,37.245174
2007-03-01,71.69085
2007-04-01,113.46899
2007-05-01,38.736855
2007-06-01,81.667435
2007-07-01,91.17592
2007-08-01,240.40295
2007-09-01,35.68579
2007-10-01,57.499573
2007-11-01,35.705086
2007-12-01,80.98929
2008-01-01,80.72213
2008-02-01,89.61235
2008-03-01,36.6953
2008-04-01,72.678345
2008-05-01,102.29243
2008-06-01,112.9873
2008-07-01,107.77949
2008-08-01,60.02938
2008-09-01,278.5525
2008-10-01,62.725437
2008-11-01,22.06398
2008-12-01,151.82822
2009-01-01,27.223429
2009-02-01,82.76741
2009-03-01,139.92813
2009-04-01,127.87648
2009-05-01,115.191895
2009-06-01,128.63248
2009-07-01,61.875305
2009-08-01,122.405106
2009-09-01,24.879831
2009-10-01,192.23051
2009-11-01,36.754345
2009-12-01,74.15139
2010-01-01,24.388365
2010-02-01,38.719265
2010-03-01,36.28743
2010-04-01,74.55208
2010-05-01,128.4832
2010-06-01,214.4819
2010-07-01,209.13487
2010-08-01,85.11614
2010-09-01,61.831676
2010-10-01,45.612263
2010-11-01,58.82823
2010-12-01,47.402218
2011-01-01,37.982834
2011-02-01,83.46945
2011-03-01,57.325848
2011-04-01,134.70782
2011-05-01,142.33559
2011-06-01,148.77852
2011-07-01,145.37079
2011-08-01,88.6525
2011-09-01,93.237885
2011-10-01,62.92935
2011-11-01,87.551285
2011-12-01,61.906002
2012-01-01,50.00894
2012-02-01,36.82095
2012-03-01,59.51607
2012-04-01,47.283722
2012-05-01,79.00891
2012-06-01,63.101334
2012-07-01,86.03665
2012-08-01,127.282364
2012-09-01,40.823135
2012-10-01,80.72798
2012-11-01,25.242844
2012-12-01,51.83504
2013-01-01,79.029305
2013-02-01,56.77572
2013-03-01,34.63621
2013-04-01,213.15642
2013-05-01,133.74966
2013-06-01,104.111374
2013-07-01,40.74479
2013-08-01,52.574
2013-09-01,74.105156
2013-10-01,116.80873
2013-11-01,107.259224
2013-12-01,30.260683
2014-01-01,62.413822
2014-02-01,46.54828
2014-03-01,34.624973
2014-04-01,78.50845
2014-05-01,120.28614
2014-06-01,162.84457
2014-07-01,138.4461
2014-08-01,194.86111
2014-09-01,70.03045
2014-10-01,77.073456
2014-11-01,38.96382
2014-12-01,21.410173
2015-01-01,25.79005
2015-02-01,24.849272
2015-03-01,17.801273
2015-04-01,76.51188
2015-05-01,107.00595
2015-06-01,181.71591
2015-07-01,64.3485
2015-08-01,95.70525
2015-09-01,117.66803
2015-10-01,25.902946
2015-11-01,112.01788
2015-12-01,139.36044
2016-01-01,20.232061
2016-02-01,32.579082
2016-03-01,79.29524
2016-04-01,55.97077
2016-05-01,137.50096
2016-06-01,73.237785
2016-07-01,181.43414
2016-08-01,150.77576
2016-09-01,44.599827
2016-10-01,94.87424
2016-11-01,53.205246
2016-12-01,32.350033
2017-01-01,73.36207
2017-02-01,28.829535
2017-03-01,146.55614
2017-04-01,127.34003
2017-05-01,119.08781
2017-06-01,62.43215
2017-07-01,129.71169
2017-08-01,49.927437
2017-09-01,14.583511
2017-10-01,248.82265
2017-11-01,64.292465
2017-12-01,8.744253
2018-01-01,27.134102
2018-02-01,114.48658
2018-03-01,39.79501
2018-04-01,49.65221
2018-05-01,126.72846
2018-06-01,181.6007
2018-07-01,67.682655
2018-08-01,96.676285
2018-09-01,79.06103
2018-10-01,128.41689
2018-11-01,67.39644
2018-12-01,55.878506
2019-01-01,56.80957
2019-02-01,57.606773
2019-03-01,65.209915
2019-04-01,119.600845
2019-05-01,233.98209
2019-06-01,108.214294
2019-07-01,117.77348
2019-08-01,80.80368
2019-09-01,199.4882
2019-10-01,145.34346
2019-11-01,36.146427
2019-12-01,39.267494
2020-01-01,77.32594
2020-02-01,24.666372
2020-03-01,70.41371
2020-04-01,128.38564
2020-05-01,204.32889
2020-06-01,99.144165
2020-07-01,82.772194
2020-08-01,29.959934
2020-09-01,82.079254
2020-10-01,89.04566
2020-11-01,49.70633
2020-12-01,57.590576
2021-01-01,39.766964
2021-02-01,35.808456
2021-03-01,32.554996
2021-04-01,38.197353
2021-05-01,83.27161
2021-06-01,179.52182
2021-07-01,58.793495
2021-08-01,84.1587
2021-09-01,25.657873
2021-10-01,181.82832
2021-11-01,22.018602
2021-12-01,59.365925
2022-01-01,19.745747
2022-02-01,84.61687
2022-03-01,100.09607
2022-04-01,80.500656
2022-05-01,111.87684
2022-06-01,55.275368
2022-07-01,142.91635
2022-08-01,61.552612
2022-09-01,57.352097
2022-10-01,59.47336
2022-11-01,30.62763
2022-12-01,56.634644
2023-01-01,58.32709
2023-02-01,88.86944
2023-03-01,66.48551
2023-04-01,55.14014
2023-05-01,22.989498
2023-06-01,45.161186
2023-07-01,232.594
2023-08-01,69.83552
2023-09-01,110.962234
2023-10-01,81.53101
2023-11-01,27.179142
2023-12-01,78.550026
2024-01-01,88.3034
2024-02-01,14.861378
2024-03-01,106.19178
2024-04-01,127.073944
2024-05-01,118.62529
2024-06-01,102.16046
2024-07-01,126.661606
2024-08-01,96.515755
2024-09-01,56.9164
2024-10-01,31.288868
2024-11-01,80.4653
2024-12-01,44.894844
