time,temperature_c,precipitation_mm,sea_level_pressure_hpa,relative_humidity_pct
2000-01-01,14.137806,17.224768,1015.46515,37.120968
2000-02-01,15.531453,45.846645,1013.92065,38.103447
2000-03-01,21.922794,16.436367,1009.8481,25.532259
2000-04-01,30.275196,1.4861286,1004.3823,19.475
2000-05-01,33.882824,15.975317,1000.2984,21.60484
2000-06-01,31.858433,163.88655,997.747,35.458332
2000-07-01,29.99875,189.86253,998.71515,78.870964
2000-08-01,30.553055,141.76056,1001.04224,80.11226
2000-09-01,29.793192,27.476976,1005.6257,76.74133
2000-10-01,27.22077,0.0,1009.5932,48.701614
2000-11-01,21.12897,0.77142364,1013.908,38.358334
2000-12-01,15.797482,6.942257,1016.41095,34.685482
2001-01-01,13.199005,11.114171,1015.5113,42.26581
2001-02-01,17.68865,9.925964,1013.06323,30.116072
2001-03-01,22.626663,3.8966951,1011.26965,30.653225
2001-04-01,28.442944,34.83957,1007.4717,27.025
2001-05-01,32.351368,48.094837,1000.3642,30.692904
2001-06-01,31.038921,120.736786,997.054,42.233334
2001-07-01,31.028065,100.95762,999.0097,79.93516
2001-08-01,31.020563,96.00512,1001.87256,79.34645
2001-09-01,30.33987,42.546703,1005.97534,67.324
2001-10-01,26.971827,4.994217,1010.02454,53.54032
2001-11-01,20.747429,0.06677382,1015.397,40.175
2001-12-01,16.103844,1.158413,1018.8416,37.653225
2002-01-01,14.199157,19.74033,1016.501,42.637096
2002-02-01,17.006441,24.94537,1017.11,39.285713
2002-03-01,23.376286,4.024841,1011.69226,31.60484
2002-04-01,30.192379,1.5411814,1006.47766,22.45
2002-05-01,33.745968,111.05175,1000.44934,18.508064
2002-06-01,33.76606,45.776943,998.45935,31.6
2002-07-01,34.66017,10.649327,998.39514,48.14516
2002-08-01,30.885248,112.35819,1001.6426,85.92742
2002-09-01,28.012379,184.52289,1006.70703,76.75833
2002-10-01,26.3254,1.4711738,1011.66095,55.0
2002-11-01,20.486217,0.0,1015.122,48.458332
2002-12-01,16.183731,27.572569,1016.2661,35.29032
2003-01-01,12.131217,33.57017,1018.3226,39.532257
2003-02-01,17.24255,17.04341,1015.3289,40.098213
2003-03-01,22.377316,3.7047853,1012.29,29.814516
2003-04-01,29.81553,1.5061076,1007.109,23.283333
2003-05-01,32.48092,7.4085374,1002.9177,17.540323
2003-06-01,34.305622,144.7814,997.11035,37.0
2003-07-01,30.065527,579.4901,1000.3964,84.66936
2003-08-01,30.29329,165.17406,1001.7487,90.82258
2003-09-01,28.936157,73.06954,1005.22766,83.833336
2003-10-01,25.482517,7.9263344,1012.2507,53.475807
2003-11-01,19.758913,0.57713753,1015.7133,40.725
2003-12-01,15.2400465,25.006004,1017.6358,46.39516
2004-01-01,13.641518,18.06633,1016.26483,42.032257
2004-02-01,18.093142,0.10266181,1015.4559,34.13793
2004-03-01,25.258804,0.0,1010.76935,26.540323
2004-04-01,30.35278,86.620674,1004.77966,22.458334
2004-05-01,32.57687,12.417107,1001.4558,19.983871
2004-06-01,31.847843,73.02038,999.046,36.9
2004-07-01,32.94903,23.656599,999.02966,55.080647
2004-08-01,29.9495,261.1288,1000.65326,90.185486
2004-09-01,30.08788,6.286916,1006.55066,76.14167
2004-10-01,24.923468,73.77173,1013.9874,66.58064
2004-11-01,20.592524,0.030481702,1016.8617,42.691666
2004-12-01,16.344423,1.4880302,1016.61,39.51613
2005-01-01,13.964979,8.289061,1016.81384,44.822582
2005-02-01,17.089777,45.34407,1014.9725,35.36607
2005-03-01,23.602928,31.832079,1011.2826,39.66129
2005-04-01,28.242397,5.545506,1009.0573,24.45
