time,slp_hpa
2000-01-01,1015.46515
2000-02-01,1013.92065
2000-03-01,1009.8481
2000-04-01,1004.3823
2000-05-01,1000.2984
2000-06-01,997.747
2000-07-01,998.71515
2000-08-01,1001.04224
2000-09-01,1005.6257
2000-10-01,1009.5932
2000-11-01,1013.908
2000-12-01,1016.41095
2001-01-01,1015.5113
2001-02-01,1013.06323
2001-03-01,1011.26965
2001-04-01,1007.4717
2001-05-01,1000.3642
2001-06-01,997.054
2001-07-01,999.0097
2001-08-01,1001.87256
2001-09-01,1005.97534
2001-10-01,1010.02454
2001-11-01,1015.397
2001-12-01,1018.8416
2002-01-01,1016.501
2002-02-01,1017.11
2002-03-01,1011.69226
2002-04-01,1006.47766
2002-05-01,1000.44934
2002-06-01,998.45935
2002-07-01,998.39514
2002-08-01,1001.6426
2002-09-01,1006.70703
2002-10-01,1011.66095
2002-11-01,1015.122
2002-12-01,1016.2661
2003-01-01,1018.3226
2003-02-01,1015.3289
2003-03-01,1012.29
2003-04-01,1007.109
2003-05-01,1002.9177
2003-06-01,997.11035
2003-07-01,1000.3964
2003-08-01,1001.7487
2003-09-01,1005.22766
2003-10-01,1012.2507
2003-11-01,1015.7133
2003-12-01,1017.6358
2004-01-01,1016.26483
2004-02-01,1015.4559
2004-03-01,1010.76935
2004-04-01,1004.77966
2004-05-01,1001.4558
2004-06-01,999.046
2004-07-01,999.02966
2004-08-01,1000.65326
2004-09-01,1006.55066
2004-10-01,1013.9874
2004-11-01,1016.8617
2004-12-01,1016.61
2005-01-01,1016.81384
2005-02-01,1014.9725
2005-03-01,1011.2826
2005-04-01,1009.0573
2005-05-01,1003.6752
2005-06-01,997.9143
2005-07-01,999.7877
2005-08-01,1001.1858
2005-09-01,1004.8907
2005-10-01,1012.05
2005-11-01,1015.67065
2005-12-01,1016.67615
2006-01-01,1016.74615
2006-02-01,1013.92175
2006-03-01,1011.50354
2006-04-01,1006.44
2006-05-01,1000.9129
2006-06-01,999.749
2006-07-01,997.9142
2006-08-01,1000.5613
2006-09-01,1005.73303
2006-10-01,1012.5145
2006-11-01,1015.25665
2006-12-01,1017.1519
2007-01-01,1018.4245
2007-02-01,1014.14355
2007-03-01,1012.239
2007-04-01,1007.459
2007-05-01,1001.38354
2007-06-01,997.59
2007-07-01,997.79614
2007-08-01,1000.6907
2007-09-01,1003.956
2007-10-01,1010.83514
2007-11-01,1014.481
2007-12-01,1016.69385
2008-01-01,1016.63226
2008-02-01,1015.02795
2008-03-01,1009.8084
2008-04-01,1007.159
2008-05-01,1001.0242
2008-06-01,996.5073
2008-07-01,997.5671
2008-08-01,1000.7116
2008-09-01,1005.383
2008-10-01,1011.47095
2008-11-01,1014.18164
2008-12-01,1015.81775
2009-01-01,1016.8371
2009-02-01,1013.5625
2009-03-01,1011.36127
2009-04-01,1006.78503
2009-05-01,1001.32837
2009-06-01,998.42236
2009-07-01,997.3732
2009-08-01,1001.9139
2009-09-01,1005.074
2009-10-01,1010.92065
2009-11-01,1015.05164
2009-12-01,1017.0377
2010-01-01,1018.0477
2010-02-01,1014.94604
2010-03-01,1010.7929
2010-04-01,1006.113
2010-05-01,1000.61743
2010-06-01,998.6097
2010-07-01,999.9565
2010-08-01,1002.34546
2010-09-01,1005.26263
2010-10-01,1009.1645
2010-11-01,1013.63934
2010-12-01,1014.09937
2011-01-01,1015.9287
2011-02-01,1014.2704
2011-03-01,1010.9626
2011-04-01,1008.49634
2011-05-01,1001.4113
2011-06-01,995.69165
2011-07-01,998.2926
2011-08-01,1000.5613
2011-09-01,1003.362
2011-10-01,1010.9619
2011-11-01,1014.06366
2011-12-01,1015.8306
2012-01-01,1017.2384
2012-02-01,1015.0207
2012-03-01,1011.2184
2012-04-01,1006.656
2012-05-01,1002.5203
2012-06-01,996.02466
2012-07-01,996.04645
2012-08-01,999.99194
2012-09-01,1004.269
2012-10-01,1010.91547
2012-11-01,1013.14136
2012-12-01,1015.0042
2013-01-01,1016.7374
2013-02-01,1015.18427
2013-03-01,1010.91095
2013-04-01,1005.32935
2013-05-01,998.88196
2013-06-01,996.86365
2013-07-01,996.97095
2013-08-01,1000.66223
2013-09-01,1004.117
2013-10-01,1009.5339
