time,precip_mm_per_day,temp_degC,city,co2_ppm,mei
2000-01-01,3.4125,-0.98,new_york_ny_usa,369.45,-1.25
2000-02-01,2.9739,1.9,new_york_ny_usa,369.71,-1.26
2000-03-01,3.8096,7.8,new_york_ny_usa,370.75,-1.37
2000-04-01,3.9874,10.11,new_york_ny_usa,371.98,-0.9
2000-05-01,4.2215,16.77,new_york_ny_usa,371.75,-0.93
2000-06-01,5.7002,21.39,new_york_ny_usa,371.87,-1.18
2000-07-01,5.5036,21.87,new_york_ny_usa,370.02,-0.61
2000-08-01,3.8301,22.03,new_york_ny_usa,368.27,-0.08
2000-09-01,3.8858,18.47,new_york_ny_usa,367.15,-0.35
2000-10-01,1.1774,12.9,new_york_ny_usa,367.18,-0.52
2000-11-01,2.9385,6.46,new_york_ny_usa,368.53,-0.86
2000-12-01,4.6,-1.35,new_york_ny_usa,369.83,-0.79
2001-01-01,2.3063,-0.76,new_york_ny_usa,370.76,-0.83
2001-02-01,2.9971,1.7,new_york_ny_usa,371.69,-0.86
2001-03-01,6.0394,3.65,new_york_ny_usa,372.63,-0.78
2001-04-01,1.3654,11.18,new_york_ny_usa,373.55,-0.55
2001-05-01,2.9625,16.71,new_york_ny_usa,374.03,-0.51
2001-06-01,4.7751,22.01,new_york_ny_usa,373.4,-0.73
2001-07-01,2.2891,22.11,new_york_ny_usa,371.68,0.04
2001-08-01,2.7533,24.57,new_york_ny_usa,369.78,0.38
2001-09-01,3.7192,18.64,new_york_ny_usa,368.34,-0.06
2001-10-01,0.7538,13.41,new_york_ny_usa,368.61,-0.22
2001-11-01,1.1318,9.88,new_york_ny_usa,369.94,-0.28
2001-12-01,2.5813,5.41,new_york_ny_usa,371.42,0.06
2002-01-01,1.8913,3.09,new_york_ny_usa,372.7,0.09
2002-02-01,1.6318,3.88,new_york_ny_usa,373.37,-0.26
2002-03-01,3.6644,6.28,new_york_ny_usa,374.3,-0.2
2002-04-01,3.5609,12.42,new_york_ny_usa,375.19,-0.36
2002-05-01,4.413,15.2,new_york_ny_usa,375.93,-0.14
2002-06-01,4.3944,21.46,new_york_ny_usa,375.69,0.34
2002-07-01,1.7782,25.02,new_york_ny_usa,374.16,0.44
2002-08-01,3.5861,24.56,new_york_ny_usa,372.03,1.01
2002-09-01,4.009,20.21,new_york_ny_usa,370.92,0.88
2002-10-01,4.9238,12.16,new_york_ny_usa,370.73,0.84
