time,slp_hpa
2000-01-01,1021.05676
2000-02-01,1016.57587
2000-03-01,1017.8871
2000-04-01,1017.59534
2000-05-01,1015.2019
2000-06-01,1013.2883
2000-07-01,1014.93
2000-08-01,1013.6361
2000-09-01,1012.371
2000-10-01,1014.2555
2000-11-01,1019.29266
2000-12-01,1020.48193
2001-01-01,1019.3103
2001-02-01,1016.25354
2001-03-01,1016.39453
2001-04-01,1017.3257
2001-05-01,1014.3858
2001-06-01,1014.1587
2001-07-01,1013.61
2001-08-01,1014.0061
2001-09-01,1012.684
2001-10-01,1015.38837
2001-11-01,1017.22363
2001-12-01,1019.1803
2002-01-01,1021.6397
2002-02-01,1021.7182
2002-03-01,1019.059
2002-04-01,1017.21234
2002-05-01,1015.739
2002-06-01,1013.23364
2002-07-01,1013.68805
2002-08-01,1013.5397
2002-09-01,1012.022
2002-10-01,1014.37
2002-11-01,1018.39667
2002-12-01,1017.9252
2003-01-01,1021.35645
2003-02-01,1016.47107
2003-03-01,1018.1803
2003-04-01,1016.407
2003-05-01,1015.25903
2003-06-01,1011.9733
2003-07-01,1013.9993
2003-08-01,1014.8542
2003-09-01,1012.46436
2003-10-01,1014.29034
2003-11-01,1018.515
2003-12-01,1018.4845
2004-01-01,1020.19257
2004-02-01,1018.16724
2004-03-01,1017.7
2004-04-01,1016.58435
2004-05-01,1015.8545
2004-06-01,1013.92633
2004-07-01,1013.71356
2004-08-01,1013.9913
2004-09-01,1012.67664
2004-10-01,1013.1694
2004-11-01,1019.75366
2004-12-01,1018.00323
2005-01-01,1017.4413
2005-02-01,1015.94037
2005-03-01,1017.44165
2005-04-01,1017.847
2005-05-01,1015.2242
2005-06-01,1013.01935
2005-07-01,1012.80164
2005-08-01,1013.061
2005-09-01,1014.64136
2005-10-01,1015.64777
2005-11-01,1019.22266
2005-12-01,1019.19836
2006-01-01,1021.00903
2006-02-01,1018.9593
2006-03-01,1015.749
2006-04-01,1014.97736
2006-05-01,1015.0371
2006-06-01,1014.5127
2006-07-01,1013.22095
2006-08-01,1013.3858
2006-09-01,1013.23834
2006-10-01,1014.80066
2006-11-01,1019.06866
2006-12-01,1021.6903
2007-01-01,1022.1268
2007-02-01,1019.06323
2007-03-01,1019.4055
2007-04-01,1017.35565
2007-05-01,1015.41583
2007-06-01,1014.3693
2007-07-01,1013.8055
2007-08-01,1012.64325
2007-09-01,1013.572
2007-10-01,1016.64484
2007-11-01,1018.18335
2007-12-01,1021.5029
2008-01-01,1017.5145
2008-02-01,1019.0138
2008-03-01,1021.52356
2008-04-01,1018.9587
2008-05-01,1014.3103
2008-06-01,1014.1743
2008-07-01,1012.7055
2008-08-01,1011.3697
2008-09-01,1012.48566
2008-10-01,1016.91
2008-11-01,1019.0707
2008-12-01,1018.701
2009-01-01,1021.9894
2009-02-01,1016.6857
2009-03-01,1018.3903
2009-04-01,1017.3103
2009-05-01,1015.19904
2009-06-01,1012.43036
2009-07-01,1013.88257
2009-08-01,1014.04224
2009-09-01,1013.2553
2009-10-01,1014.4136
2009-11-01,1017.5993
2009-12-01,1017.39905
2010-01-01,1014.38354
2010-02-01,1015.3707
2010-03-01,1018.31805
2010-04-01,1015.32965
2010-05-01,1017.2287
2010-06-01,1014.83936
2010-07-01,1012.8603
2010-08-01,1012.2887
2010-09-01,1012.2137
2010-10-01,1016.2955
2010-11-01,1019.233
2010-12-01,1016.35803
2011-01-01,1020.3039
2011-02-01,1018.73145
2011-03-01,1018.08905
2011-04-01,1018.41534
2011-05-01,1016.30255
2011-06-01,1013.21436
2011-07-01,1012.4736
2011-08-01,1013.1571
2011-09-01,1013.55597
2011-10-01,1015.5929
2011-11-01,1018.05035
2011-12-01,1021.5535
2012-01-01,1021.35547
2012-02-01,1019.0569
2012-03-01,1017.04675
2012-04-01,1017.2133
2012-05-01,1015.5916
2012-06-01,1013.521
2012-07-01,1013.7329
2012-08-01,1012.6287
2012-09-01,1014.697
2012-10-01,1015.821
2012-11-01,1017.884
2012-12-01,1017.3806
2013-01-01,1021.8361
2013-02-01,1020.80286
2013-03-01,1018.82385
2013-04-01,1017.188
2013-05-01,1016.0213
2013-06-01,1013.3483
2013-07-01,1012.8968
2013-08-01,1014.0816
2013-09-01,1012.61865
2013-10-01,1015.1961
2013-11-01,1017.2263
2013-12-01,1020.32935
2014-01-01,1020.25
2014-02-01,1017.49963
2014-03-01,1017.5542
2014-04-01,1016.60565
2014-05-01,1016.2445
2014-06-01,1012.1113
2014-07-01,1014.2868
2014-08-01,1013.5484
2014-09-01,1011.70764
2014-10-01,1014.4408
2014-11-01,1018.4
2014-12-01,1017.8581
2015-01-01,1020.56696
2015-02-01,1017.1625
2015-03-01,1018.69196
2015-04-01,1016.3225
2015-05-01,1014.3411
2015-06-01,1012.6633
2015-07-01,1013.72095
2015-08-01,1013.9234
2015-09-01,1011.9608
2015-10-01,1014.30804
2015-11-01,1018.24084
2015-12-01,1019.77985
2016-01-01,1018.3645
2016-02-01,1020.8336
2016-03-01,1017.11774
2016-04-01,1017.1492
2016-05-01,1014.38385
2016-06-01,1014.8
2016-07-01,1014.09033
2016-08-01,1013.4669
2016-09-01,1014.15
2016-10-01,1015.2452
2016-11-01,1018.30914
2016-12-01,1019.129
2017-01-01,1016.84436
2017-02-01,1015.58484
2017-03-01,1019.9895
2017-04-01,1017.36414
2017-05-01,1014.1694
2017-06-01,1013.11334
2017-07-01,1013.8145
2017-08-01,1012.80646
2017-09-01,1012.4217
2017-10-01,1015.0048
2017-11-01,1017.7083
2017-12-01,1021.1315
2018-01-01,1020.64355
2018-02-01,1019.50806
2018-03-01,1017.3516
2018-04-01,1018.0108
2018-05-01,1015.25
2018-06-01,1012.9083
2018-07-01,1014.925
2018-08-01,1014.1234
2018-09-01,1012.7008
2018-10-01,1014.6758
2018-11-01,1017.2225
2018-12-01,1020.07825
2019-01-01,1017.95966
2019-02-01,1014.5643
2019-03-01,1017.7065
2019-04-01,1016.54584
2019-05-01,1013.4258
2019-06-01,1013.3125
2019-07-01,1014.11615
2019-08-01,1013.1855
2019-09-01,1013.2342
2019-10-01,1015.19354
2019-11-01,1014.87665
2019-12-01,1017.3476
2020-01-01,1022.525
2020-02-01,1020.1802
2020-03-01,1017.18066
2020-04-01,1017.12665
2020-05-01,1015.325
2020-06-01,1013.7867
2020-07-01,1013.1484
2020-08-01,1012.16046
2020-09-01,1013.91833
2020-10-01,1014.725
2020-11-01,1018.6483
2020-12-01,1021.0815
2021-01-01,1018.75726
2021-02-01,1020.63574
2021-03-01,1019.13873
2021-04-01,1016.79834
2021-05-01,1015.6911
2021-06-01,1013.41833
2021-07-01,1013.8258
2021-08-01,1012.396
2021-09-01,1013.95917
2021-10-01,1015.9121
2021-11-01,1020.2342
2021-12-01,1016.2008
2022-01-01,1021.6871
2022-02-01,1021.28125
2022-03-01,1019.0613
2022-04-01,1017.6517
2022-05-01,1016.0742
2022-06-01,1013.8567
2022-07-01,1014.2887
2022-08-01,1013.4742
2022-09-01,1012.24335
2022-10-01,1016.0387
2022-11-01,1019.2583
2022-12-01,1018.2161
2023-01-01,1016.3355
2023-02-01,1018.3107
2023-03-01,1016.2831
2023-04-01,1018.32
2023-05-01,1014.5823
2023-06-01,1014.25586
2023-07-01,1013.7443
2023-08-01,1013.7355
2023-09-01,1014.3975
2023-10-01,1014.39435
2023-11-01,1017.5883
2023-12-01,1018.6758
2024-01-01,1018.9282
2024-02-01,1015.2388
2024-03-01,1015.9258
2024-04-01,1016.8275
2024-05-01,1014.3992
2024-06-01,1012.0308
2024-07-01,1013.004
2024-08-01,1015.0153
2024-09-01,1011.88416
2024-10-01,1015.61774
2024-11-01,1017.85
2024-12-01,1020.5065
