time,temperature_c,co2_ppm
2000-01-01,11.290099,369.45
2000-02-01,12.038088,369.71
2000-03-01,12.729488,370.75
2000-04-01,14.904459,371.98
2000-05-01,16.493074,371.75
2000-06-01,18.372965,371.87
2000-07-01,17.627878,370.02
2000-08-01,18.74189,368.27
2000-09-01,19.39807,367.15
2000-10-01,15.777709,367.18
2000-11-01,10.744376,368.53
2000-12-01,10.237742,369.83
2001-01-01,8.87329,370.76
2001-02-01,10.31854,371.69
2001-03-01,13.278283,372.63
2001-04-01,12.416274,373.55
2001-05-01,18.23633,374.03
2001-06-01,18.679314,373.4
2001-07-01,18.067429,371.68
2001-08-01,18.436758,369.78
2001-09-01,17.603518,368.34
2001-10-01,17.21548,368.61
2001-11-01,13.887109,369.94
2001-12-01,10.661182,371.42
2002-01-01,8.964215,372.7
2002-02-01,11.520595,373.37
2002-03-01,11.94753,374.3
2002-04-01,13.936518,375.19
2002-05-01,15.02495,375.93
2002-06-01,17.331236,375.69
2002-07-01,18.676334,374.16
2002-08-01,18.565472,372.03
2002-09-01,19.075151,370.92
2002-10-01,16.407433,370.73
2002-11-01,13.866667,372.43
2002-12-01,11.12724,373.98
2003-01-01,12.054617,375.07
2003-02-01,11.142754,375.82
2003-03-01,13.417287,376.64
2003-04-01,12.431824,377.92
2003-05-01,15.73549,378.78
2003-06-01,18.05119,378.46
2003-07-01,19.072338,376.88
2003-08-01,19.854368,374.57
2003-09-01,20.026056,373.34
2003-10-01,17.685574,373.31
2003-11-01,11.847485,374.84
2003-12-01,10.723133,376.17
2004-01-01,9.909305,377.17
2004-02-01,11.01969,378.05
2004-03-01,15.419619,379.06
2004-04-01,15.529373,380.54
2004-05-01,16.313421,380.8
2004-06-01,17.500214,379.87
2004-07-01,18.926474,377.65
2004-08-01,19.621466,376.17
2004-09-01,19.888613,374.43
2004-10-01,15.921242,374.63
2004-11-01,12.212115,376.33
2004-12-01,10.371599,377.68
2005-01-01,9.212098,378.63
2005-02-01,12.434693,379.91
2005-03-01,13.864535,380.95
2005-04-01,13.665365,382.48
2005-05-01,16.460985,382.64
2005-06-01,16.991926,382.4
2005-07-01,19.212563,380.93
2005-08-01,18.408283,378.93
2005-09-01,17.223076,376.89
2005-10-01,16.252272,377.19
2005-11-01,13.738916,378.54
2005-12-01,11.604865,380.31
2006-01-01,10.887342,381.58
2006-02-01,11.685846,382.4
2006-03-01,10.787741,382.86
2006-04-01,13.467133,384.8
2006-05-01,16.358402,385.22
2006-06-01,18.553816,384.24
2006-07-01,20.458061,382.65
2006-08-01,18.365215,380.6
2006-09-01,17.823063,379.04
2006-10-01,15.984633,379.33
2006-11-01,12.944615,380.35
2006-12-01,9.905404,382.02
2007-01-01,8.662825,383.1
2007-02-01,11.424738,384.12
2007-03-01,13.7060585,384.81
2007-04-01,14.121238,386.73
2007-05-01,15.990602,386.78
2007-06-01,17.447033,386.33
2007-07-01,18.854265,384.73
2007-08-01,19.070698,382.24
2007-09-01,18.355433,381.2
2007-10-01,15.626623,381.37
2007-11-01,13.162105,382.7
2007-12-01,9.042829,384.19
2008-01-01,9.039295,385.78
2008-02-01,10.896461,386.06
2008-03-01,12.182597,386.28
2008-04-01,13.411483,387.33
2008-05-01,15.787324,388.78
2008-06-01,17.711815,387.99
2008-07-01,18.442984,386.61
2008-08-01,19.261286,384.32
2008-09-01,19.07766,383.41
2008-10-01,17.312016,383.22
2008-11-01,14.261537,384.41
2008-12-01,8.816608,385.79
2009-01-01,10.504486,387.17
2009-02-01,11.009067,387.7
2009-03-01,12.322964,389.04
2009-04-01,13.839312,389.76
2009-05-01,16.17268,390.36
2009-06-01,17.796684,389.7
2009-07-01,17.870214,388.24
2009-08-01,19.172337,386.29
2009-09-01,19.804893,384.95
2009-10-01,16.291758,384.64
2009-11-01,12.737917,386.23
2009-12-01,9.3021345,387.63
2010-01-01,10.323119,388.91
2010-02-01,11.994716,390.41
2010-03-01,12.350514,391.37
2010-04-01,12.792075,392.67
2010-05-01,14.350066,393.21
2010-06-01,17.76111,392.38
2010-07-01,17.8938,390.41
2010-08-01,18.03258,388.54
2010-09-01,20.103117,387.03
2010-10-01,17.61762,387.43
2010-11-01,12.696806,388.87
2010-12-01,11.2013235,389.99
2011-01-01,9.987099,391.5
2011-02-01,10.175714,392.05
2011-03-01,12.181347,392.8
2011-04-01,13.42814,393.44
2011-05-01,14.302285,394.41
2011-06-01,16.613674,393.95
2011-07-01,18.055763,392.72
2011-08-01,17.82449,390.33
2011-09-01,19.165926,389.28
2011-10-01,17.656363,389.19
2011-11-01,12.267371,390.48
2011-12-01,9.2213125,392.06
